date_id,year,month,quarter
20170831,2017,8,3
20170901,2017,9,3
20170902,2017,9,3
20170903,2017,9,3
20170904,2017,9,3
20170905,2017,9,3
20170906,2017,9,3
20170907,2017,9,3
20170908,2017,9,3
20170909,2017,9,3
20170910,2017,9,3
20170911,2017,9,3
20170912,2017,9,3
20170913,2017,9,3
20170914,2017,9,3
20170915,2017,9,3
20170916,2017,9,3
20170917,2017,9,3
20170918,2017,9,3
20170919,2017,9,3
20170920,2017,9,3
20170921,2017,9,3
20170922,2017,9,3
20170923,2017,9,3
20170924,2017,9,3
20170925,2017,9,3
20170926,2017,9,3
20170927,2017,9,3
20170928,2017,9,3
20170929,2017,9,3
20170930,2017,9,3
20171001,2017,10,4
20171002,2017,10,4
20171003,2017,10,4
20171004,2017,10,4
20171005,2017,10,4
20171006,2017,10,4
20171007,2017,10,4
20171008,2017,10,4
20171009,2017,10,4
20171010,2017,10,4
20171011,2017,10,4
20171012,2017,10,4
20171013,2017,10,4
20171014,2017,10,4
20171015,2017,10,4
20171016,2017,10,4
20171017,2017,10,4
20171018,2017,10,4
20171019,2017,10,4
20171020,2017,10,4
20171021,2017,10,4
20171022,2017,10,4
20171023,2017,10,4
20171024,2017,10,4
20171025,2017,10,4
20171026,2017,10,4
20171027,2017,10,4
20171028,2017,10,4
20171029,2017,10,4
20171030,2017,10,4
20171031,2017,10,4
20171101,2017,11,4
20171102,2017,11,4
20171103,2017,11,4
20171104,2017,11,4
20171105,2017,11,4
20171106,2017,11,4
20171107,2017,11,4
20171108,2017,11,4
20171109,2017,11,4
20171110,2017,11,4
20171111,2017,11,4
20171112,2017,11,4
20171113,2017,11,4
20171114,2017,11,4
20171115,2017,11,4
20171116,2017,11,4
20171117,2017,11,4
20171118,2017,11,4
20171119,2017,11,4
20171120,2017,11,4
20171121,2017,11,4
20171122,2017,11,4
20171123,2017,11,4
20171124,2017,11,4
20171125,2017,11,4
20171126,2017,11,4
20171127,2017,11,4
20171128,2017,11,4
20171129,2017,11,4
20171130,2017,11,4
20171201,2017,12,4
20171202,2017,12,4
20171203,2017,12,4
20171204,2017,12,4
20171205,2017,12,4
20171206,2017,12,4
